"1","nodule","Lung windows ","pulmonary nodule","1"
"2","nodule","Kidney","nodule","1"
"3","retroperitoneal","Mesentery/Peritoneum","nodal enlargment","0"
"4","ascites","Fluid","ascites","2"
"5","hydronephrosis","Kidney","hydronephrosis","0"
"6","splenomegaly","Spleen","spleen span","0"
"7","cirrhosis","Liver","Liver Capsule","1"
"8","tumor","Spleen","mass","0"
"9","tumor","Pancreas","mass","0"
"10","nodules","Mesentery/Peritoneum","nodal enlargment","2"
"11","mass","Liver","parenchyma","2"
"12","gallstones","Gallbladder ","stone","0"
"13","cysts","Kidney","cyst","2"
"14","cysts","Liver","cyst","2"
"15","hcc","Liver","Mass with early enhanced, early washout","1"
"16","calcification","Liver","Calcification","0"
"17","calcification","Kidney","stone","0"
"18","atelectasis","Lung windows ","lung atelectasis","0"
"19","hccs","Liver","Mass with early enhanced, early washout","2"
"20","varices","Liver","Collateral vasculature/varices","0"
"21","fatty","Liver","parenchyma","0"
"22","metastasis","Liver","Mass with early enhanced, early washout","1"
"23","cyst","Liver","cyst","1"
"24","stone","Bile duct","Bil.IHDs","0"
"25","stone","Bile duct","CBD","0"
"26","stone","Bile duct","CHD","0"
"27","stone","Bile duct","Left IHD","0"
"28","stone","Bile duct","Right IHD","0"
"29","hernia","Soft tissues","mass","0"
"30","consolidation","Lung windows ","consolidation","0"
"31","thrombus","Vasculature","portal vein","0"
"32","hemangioma","Liver","Mass with early enhanced, early washout","1"
"33","gallstone","Gallbladder ","stone","0"
"34","cystic","Kidney","cyst","2"
"35","occlusion","Vasculature","hepatic vein","0"
"36","occlusion","Vasculature","splenic vein","0"
"37","lymphadenopathy","Mesentery/Peritoneum","nodal enlargment","0"
"38","ground-glass","Lung windows","infiltration","2"
"39","pneumoperitoneum","Bowel and Stomach","perforation","0"
"40","plaque","Vasculature","renal artery","0"
"41","liposarcoma","Mesentery/Peritoneum","Mass","0"
"42","myomas","Uterus","mass","0"
"43","narrowing","Bile duct","Bil.IHDs","0"
"44","narrowing","Bile duct","CBD","0"
"45","narrowing","Bile duct","CHD","0"
"46","narrowing","Bile duct","Left IHD","0"
"47","narrowing","Bile duct","Right IHD","0"
"48","osteolytic","Bone Windows","osteolytic mass","1"
"49","cholangiocarcinoma","Liver","Mass with persistent enhancement","0"
"50","diverticula","Bowel and Stomach","mass","0"
"51","aneurysm","Vasculature","abdominal aorta","0"
"52","aneurysm","Vasculature","Celiac trunk","0"
"53","aneurysm","Vasculature","common iliac artery","0"
"54","aneurysm","Vasculature","hepatic artery","0"
"55","aneurysm","Vasculature","hepatic vein","0"
"56","aneurysm","Vasculature","renal artery","0"
"57","aneurysm","Vasculature","SMA","0"
"58","aneurysm","Vasculature","splenic artery","0"
"59","polyp","Gallbladder ","Mass","0"
"60","biliary-dilatation","Gallbladder","wall","1"
"61","fluid-collection","Fluid","ascites","2"
